Member_number,Date,itemDescription
1450,2014-05-20,canned beer
1450,2014-11-17,"root vegetables, other vegetables"
1450,2014-12-08,"specialty bar, misc. beverages"
1450,2015-07-08,"hamburger meat, bottled beer, coffee, instant coffee, yogurt"
1450,2015-11-16,"bags, yogurt, soda"
1451,2014-08-28,"tropical fruit, bottled water, kitchen towels, processed cheese"
1451,2015-01-27,"tropical fruit, fruit/vegetable juice"
1452,2014-05-31,"margarine, mayonnaise"
1452,2015-03-29,"liver loaf, frozen vegetables, soda, curd"
1452,2015-05-09,"ham, rolls/buns"
1452,2015-05-21,"shopping bags, whole milk"
1452,2015-10-27,"chicken, chewing gum"
1452,2015-11-25,"tropical fruit, other vegetables, rice"
1453,2014-03-13,"citrus fruit, fruit/vegetable juice"
1453,2014-11-21,"hygiene articles, margarine"
1454,2014-01-28,"brown bread, rolls/buns"
1454,2014-05-03,"chicken, fruit/vegetable juice"
1454,2015-01-13,"meat, tropical fruit, rolls/buns"
1454,2015-10-22,"white bread, beef, coffee, flour"
1455,2015-03-18,"ham, specialty bar"
1456,2014-05-26,"whipped/sour cream, softener"
1456,2014-07-01,"liquor, hygiene articles"
1456,2014-08-12,"packaged fruit/vegetables, shopping bags"
1456,2015-07-19,"whole milk, domestic eggs"
1456,2015-09-18,"root vegetables, rolls/buns, whole milk, frozen vegetables, specialty chocolate, seasonal products"
1456,2015-11-20,"newspapers, domestic eggs"
1457,2014-04-15,"long life bakery product, hard cheese"
1457,2014-05-12,"root vegetables, white bread"
1457,2014-07-09,"waffles, pudding powder"
1457,2014-09-22,"grapes, hard cheese"
1457,2014-12-02,"whole milk, cat food"
1457,2015-01-09,"yogurt, butter milk"
1458,2014-10-20,"pip fruit, rolls/buns"
1458,2015-02-24,"ice cream, grapes"
1458,2015-08-24,"pork, canned beer, specialty bar"
1459,2015-07-18,"citrus fruit, whole milk, curd, chocolate marshmallow"
1460,2014-05-07,"waffles, yogurt"
1460,2015-01-13,"ham, other vegetables, napkins"
1460,2015-06-24,"hamburger meat, tropical fruit, bottled water, whipped/sour cream, flour"
1461,2014-08-05,"other vegetables, beef"
1461,2014-08-11,bottled beer
1461,2015-12-21,"bottled water, soda, margarine, candy"
1462,2014-01-18,"salty snack, sugar"
1462,2014-09-24,"bottled water, whipped/sour cream"
1463,2014-11-17,other vegetables
1463,2015-09-28,"tropical fruit, specialty bar"
1463,2015-12-24,"sausage, root vegetables"
1464,2015-03-07,"sausage, pastry, soda"
1464,2015-06-03,"other vegetables, dessert"
1465,2014-01-23,"ham, brown bread"
1465,2014-06-27,"whole milk, newspapers"
1465,2014-09-26,"pastry, yogurt"
1465,2014-12-08,"napkins, packaged fruit/vegetables, shopping bags"
1465,2015-02-03,"sausage, tropical fruit"
1465,2015-06-26,"meat, sausage, other vegetables, shopping bags"
1465,2015-11-09,"canned beer, curd"
1466,2014-02-03,"citrus fruit, chewing gum, brown bread"
1466,2014-04-09,"rolls/buns, waffles"
1466,2014-04-25,"root vegetables, popcorn"
1466,2014-05-16,"chocolate, beverages"
1466,2014-05-24,root vegetables
1466,2014-07-13,"hamburger meat, candy"
1466,2014-08-23,"ice cream, white bread, whole milk, bottled water"
1466,2015-04-19,"beef, root vegetables"
1466,2015-12-01,"sausage, other vegetables, mayonnaise, seasonal products"
1467,2015-05-02,"sausage, tropical fruit"
1467,2015-08-20,"ham, pickled vegetables, newspapers"
1468,2014-02-05,"onions, shopping bags, seasonal products"
1468,2014-04-12,"zwieback, salty snack"
1468,2014-07-12,"ham, yogurt, bottled water"
1468,2014-08-21,"root vegetables, salty snack"
1468,2014-10-02,"whole milk, frozen dessert"
1468,2015-10-09,"canned beer, other vegetables, yogurt"
1469,2014-08-28,"coffee, salty snack"
1470,2014-06-11,"tropical fruit, fruit/vegetable juice"
1471,2014-07-31,"yogurt, butter"
1471,2014-08-21,"tropical fruit, whole milk"
1472,2014-02-15,"pork, curd, curd cheese, misc. beverages"
1472,2014-06-10,"specialty bar, sliced cheese"
1472,2014-11-05,"yogurt, hygiene articles"
1472,2015-02-11,"bottled beer, yogurt, other vegetables"
1472,2015-07-06,"root vegetables, whole milk"
1472,2015-09-19,"root vegetables, bottled water, waffles"
1473,2014-02-27,"soda, pasta, curd cheese"
1473,2014-05-01,"hamburger meat, rolls/buns"
1473,2014-10-10,"whole milk, whipped/sour cream, long life bakery product"
1473,2015-10-02,"napkins, mustard"
1474,2014-04-10,"frankfurter, chocolate"
1474,2014-08-13,"meat, whole milk, newspapers"
1474,2015-06-02,"margarine, cream cheese , misc. beverages"
1474,2015-06-24,"white bread, root vegetables"
1474,2015-07-29,"frankfurter, Instant food products"
1475,2014-03-05,"pastry, kitchen towels"
1475,2014-09-21,"yogurt, frozen potato products"
1475,2015-03-28,"pasta, hamburger meat, frozen meals, domestic eggs"
1475,2015-12-17,"frankfurter, canned beer"
1476,2014-01-16,"yogurt, coffee"
1476,2014-03-31,"margarine, bottled water"
1476,2014-11-05,"liquor, UHT-milk"
1476,2015-03-22,"whole milk, frozen vegetables, newspapers"
1476,2015-03-29,"tropical fruit, UHT-milk"
1476,2015-08-26,"yogurt, shopping bags"
1477,2014-03-14,"packaged fruit/vegetables, beverages"
1477,2014-11-21,"meat, frozen vegetables, other vegetables"
1477,2015-02-08,"liquor, rolls/buns, cream cheese "
1477,2015-05-13,"bottled beer, berries"
1477,2015-05-16,"misc. beverages, sausage, root vegetables, liquor (appetizer), coffee"
1477,2015-11-20,"sausage, pot plants"
1478,2014-04-07,"whipped/sour cream, hard cheese"
1478,2014-07-07,"chicken, pastry"
1478,2014-12-26,"soft cheese, cream cheese "
1478,2015-02-12,"pork, bottled water"
1479,2014-03-29,"pip fruit, whole milk, soda"
1479,2014-04-24,"tropical fruit, liquor (appetizer)"
1479,2015-05-14,"berries, other vegetables, sausage, pip fruit, rolls/buns, brown bread, sauces"
1479,2015-05-15,"sausage, shopping bags"
1480,2014-02-04,"tropical fruit, onions"
1480,2014-05-05,"shopping bags, detergent"
1480,2014-05-25,"beef, grapes"
1480,2014-12-22,"pip fruit, bottled water"
1480,2015-08-24,"berries, packaged fruit/vegetables, tidbits"
1480,2015-11-21,"rolls/buns, soda"
1481,2015-01-17,"yogurt, pip fruit"
1481,2015-06-04,"yogurt, pip fruit"
1482,2014-09-24,"mayonnaise, shopping bags"
1482,2014-10-22,"rolls/buns, brown bread"
1482,2015-02-21,"pip fruit, cake bar"
1482,2015-07-06,"bottled beer, whole milk, soda, soft cheese, shopping bags, sugar"
1482,2015-07-24,"bottled beer, sausage, cream cheese , frozen vegetables"
1482,2015-11-22,"beverages, canned fish"
1483,2014-01-03,"pastry, dessert"
1483,2014-01-13,"meat, pip fruit"
1483,2014-01-25,"fruit/vegetable juice, detergent, yogurt, snack products"
1483,2014-10-19,yogurt
1483,2015-04-01,"tropical fruit, sausage"
1483,2015-04-25,"brown bread, soda"
1483,2015-06-14,"root vegetables, canned beer, specialty cheese, rolls/buns"
1483,2015-06-27,"rolls/buns, liquor (appetizer)"
1484,2015-02-24,"root vegetables, whole milk"
1484,2015-08-27,"sausage, bottled beer"
1484,2015-10-07,"beef, soda, white wine, soft cheese"
1485,2015-05-15,"beef, packaged fruit/vegetables"
1485,2015-07-12,"soda, other vegetables"
1486,2014-11-30,"soda, soft cheese, oil"
1486,2014-12-02,"soda, candles"
1486,2015-02-11,"pip fruit, yogurt"
1486,2015-08-20,"pastry, dish cleaner"
1486,2015-09-23,"chicken, beef"
1486,2015-12-14,"other vegetables, chicken, onions, rolls/buns, spices"
1487,2014-04-09,"rolls/buns, popcorn, fruit/vegetable juice"
1487,2014-11-02,"yogurt, butter, cling film/bags, fruit/vegetable juice"
1488,2014-01-30,"meat, UHT-milk"
1488,2014-06-22,"root vegetables, white bread"
1488,2015-06-21,"beef, grapes"
1488,2015-11-28,"onions, curd"
1489,2014-01-06,"vinegar, newspapers, brown bread"
1489,2014-11-04,"sausage, spread cheese"
1489,2015-03-07,"frozen vegetables, dessert"
1489,2015-03-13,"pork, whole milk"
1489,2015-06-23,"rolls/buns, tropical fruit, soda, dessert"
1490,2014-10-18,"detergent, soft cheese"
1490,2015-10-04,"whole milk, detergent"
1491,2014-08-04,"hamburger meat, soft cheese, pickled vegetables"
1491,2014-11-08,"hygiene articles, other vegetables"
1491,2015-06-18,"frankfurter, citrus fruit"
1491,2015-10-17,"root vegetables, other vegetables"
1491,2015-12-30,"chicken, pork"
1492,2014-05-02,"whole milk, rolls/buns, yogurt"
1492,2014-11-05,"butter, whipped/sour cream"
1492,2014-12-20,"frankfurter, yogurt"
1492,2015-01-20,"cat food, other vegetables"
1492,2015-01-29,"hard cheese, cream cheese "
1493,2014-01-28,root vegetables
1493,2014-03-06,"organic sausage, processed cheese, oil"
1493,2014-10-22,"liquor, UHT-milk"
1493,2015-02-23,"beverages, whole milk, napkins"
1493,2015-05-22,"whipped/sour cream, yogurt, hygiene articles"
1493,2015-10-01,"semi-finished bread, spices"
1494,2014-02-13,"bottled water, rolls/buns"
1494,2014-05-16,"beef, hard cheese, soft cheese, yogurt"
1494,2014-11-23,"pip fruit, cat food"
1494,2015-03-26,"sausage, shopping bags"
1494,2015-06-25,"frozen fish, whole milk"
1494,2015-09-29,"whole milk, canned beer, herbs, bottled beer"
1495,2014-01-08,"meat, other vegetables"
1495,2014-11-10,"whipped/sour cream, misc. beverages"
1495,2015-01-09,"root vegetables, frankfurter, specialty bar, packaged fruit/vegetables, hygiene articles"
1496,2014-04-26,"root vegetables, hygiene articles"
1497,2014-05-26,"packaged fruit/vegetables, tea"
1497,2015-04-18,"sausage, liquor (appetizer), coffee"
1497,2015-07-26,"shopping bags, butter milk"
1497,2015-10-10,"butter milk, margarine"
1498,2014-08-23,"long life bakery product, rolls/buns"
1498,2014-10-29,"citrus fruit, baking powder"
1498,2015-05-28,"frankfurter, dessert"
1498,2015-10-28,"frozen vegetables, whole milk"
1499,2014-02-22,"spread cheese, soda"
1499,2014-05-11,"root vegetables, sliced cheese"
1499,2015-03-06,"rolls/buns, frozen vegetables"
1499,2015-05-17,whole milk
1499,2015-11-09,"cat food, soda"
1500,2014-04-01,"bottled beer, fruit/vegetable juice"
1500,2014-06-20,"hygiene articles, chocolate, soups"
1500,2014-09-26,"specialty bar, shopping bags, pasta"
1500,2015-01-06,"rolls/buns, frankfurter, soda, canned fish"
1500,2015-03-08,"sausage, pasta"
1500,2015-03-21,"whole milk, pork"
1501,2014-05-24,"chicken, baking powder"
1501,2014-08-28,"curd, butter"
1501,2014-11-03,"whole milk, detergent"
1501,2015-08-17,"bottled water, napkins, fruit/vegetable juice, hard cheese"
1502,2015-04-16,"butter milk, sausage, UHT-milk, yogurt, canned beer"
1502,2015-10-31,"frozen vegetables, other vegetables"
1503,2015-05-12,"pork, whipped/sour cream, dishes"
1503,2015-07-25,"chicken, finished products, meat, fruit/vegetable juice"
1503,2015-08-17,"bottled beer, whole milk"
1504,2014-01-12,"sausage, white wine"
1504,2014-10-14,"yogurt, whole milk"
1504,2014-12-24,"root vegetables, cleaner"
1504,2014-12-29,"tropical fruit, curd, chocolate"
1504,2015-11-30,"curd, whole milk"
1505,2015-07-27,"shopping bags, beef, citrus fruit, cat food"
1505,2015-10-27,"frankfurter, canned beer, other vegetables, potato products"
1506,2014-10-23,"long life bakery product, fruit/vegetable juice"
1506,2014-12-25,"cat food, pet care, oil"
1507,2014-04-04,"hamburger meat, baking powder, dessert"
1507,2014-05-24,"yogurt, domestic eggs, frozen vegetables, fruit/vegetable juice"
1507,2014-06-06,"bottled water, hair spray, processed cheese"
1507,2014-09-14,"whole milk, flower (seeds), honey"
1507,2015-06-22,"chicken, frozen fish, sugar"
1508,2014-04-25,"brown bread, pot plants"
1508,2014-09-28,"rolls/buns, yogurt"
1508,2015-03-10,"pip fruit, bottled beer"
1508,2015-11-15,"sausage, canned beer"
1509,2014-04-09,"margarine, bottled water"
1509,2014-05-28,"citrus fruit, domestic eggs"
1509,2014-07-09,"butter milk, yogurt"
1509,2015-05-13,"chocolate, liquor"
1509,2015-11-04,"chicken, yogurt, UHT-milk, root vegetables, hard cheese, semi-finished bread, frozen potato products"
1509,2015-12-30,"other vegetables, liquor (appetizer)"
1510,2014-04-17,"other vegetables, whole milk"
1510,2014-10-13,"specialty bar, frozen meals, kitchen towels, whole milk"
1510,2014-12-03,"beef, canned beer, fruit/vegetable juice"
1510,2014-12-24,"domestic eggs, candy"
1510,2015-05-16,"sausage, ice cream, rolls/buns"
1510,2015-08-21,"other vegetables, whole milk"
1510,2015-10-25,"ham, soda"
1511,2014-08-28,"bottled water, curd"
1511,2015-03-22,"ice cream, shopping bags"
1512,2014-04-29,"bottled beer, fruit/vegetable juice"
1512,2014-06-03,"detergent, rolls/buns, yogurt"
1512,2015-02-23,"whole milk, salty snack, shopping bags"
1512,2015-09-20,"chicken, domestic eggs"
1513,2014-05-29,"whipped/sour cream, sparkling wine, bottled beer"
1513,2015-08-03,"specialty bar, yogurt, napkins, other vegetables, chocolate"
1513,2015-11-12,"sausage, bottled beer"
1514,2014-02-26,"bottled water, shopping bags"
1514,2015-01-11,"root vegetables, waffles"
1514,2015-02-28,"rolls/buns, whole milk"
1514,2015-04-08,"whipped/sour cream, citrus fruit"
1514,2015-08-24,"whole milk, pasta"
1515,2014-03-09,"root vegetables, soda"
1515,2015-07-05,"frankfurter, other vegetables"
1515,2015-09-21,"pastry, cat food"
1515,2015-11-06,"bottled beer, candy"
1515,2015-11-09,"hamburger meat, soda, hard cheese"
1515,2015-11-28,"waffles, pasta"
1516,2014-02-20,"specialty chocolate, shopping bags"
1516,2015-01-28,"brown bread, oil"
1517,2014-09-03,"sausage, root vegetables, salty snack, coffee"
1517,2014-09-11,"ice cream, hygiene articles"
1517,2015-03-01,"frankfurter, bottled beer"
1517,2015-08-01,rolls/buns
1518,2015-06-21,"tropical fruit, yogurt"
1518,2015-09-07,"pastry, other vegetables"
1518,2015-12-11,"frankfurter, pork, ketchup"
1519,2014-10-28,"butter, oil"
1520,2014-04-30,"other vegetables, berries"
1520,2014-06-03,"beef, other vegetables"
1520,2015-02-26,"baking powder, yogurt"
1521,2014-09-11,"whole milk, salty snack, margarine"
1521,2014-12-26,"ham, seasonal products, cat food"
1522,2014-01-07,"whole milk, waffles, shopping bags"
1522,2014-01-30,"whole milk, margarine"
1522,2014-03-27,"sausage, ketchup"
1522,2014-06-16,"tropical fruit, domestic eggs, chocolate"
1522,2014-08-23,"newspapers, yogurt"
1522,2014-10-11,"newspapers, long life bakery product, napkins"
1522,2014-12-24,"margarine, frozen meals, dish cleaner, yogurt"
1523,2014-03-20,"bottled beer, oil"
1523,2014-11-09,"domestic eggs, other vegetables, brown bread"
1523,2015-03-28,"ham, beef, bottled water, citrus fruit, dishes"
1524,2014-02-06,"whipped/sour cream, brown bread"
1524,2015-03-05,"tropical fruit, soda"
1524,2015-08-06,"UHT-milk, cream cheese , waffles"
1524,2015-12-05,"root vegetables, dessert"
1525,2014-07-13,"sausage, bottled beer, sliced cheese"
1525,2014-10-25,"ham, bottled water"
1526,2014-02-18,"domestic eggs, other vegetables"
1526,2014-05-11,"sugar, cat food"
1526,2014-07-13,"yogurt, rolls/buns"
1526,2014-07-21,"yogurt, shopping bags"
1526,2015-11-26,"sausage, whole milk, yogurt"
1527,2014-01-29,"other vegetables, domestic eggs"
1527,2014-04-15,"spices, soda"
1527,2015-04-20,"citrus fruit, rolls/buns, napkins, soda"
1527,2015-05-14,"UHT-milk, frozen vegetables, frozen meals"
1527,2015-12-30,"domestic eggs, whole milk, bottled water"
1528,2014-02-01,"frozen vegetables, tropical fruit"
1528,2014-06-12,"whole milk, cream cheese "
1528,2015-02-20,"sausage, curd"
1528,2015-09-15,chicken
1529,2014-03-01,"preservation products, soups"
1529,2014-05-29,"other vegetables, margarine, bottled water"
1529,2015-06-17,"frankfurter, soda"
1530,2014-09-05,"pastry, sliced cheese, fruit/vegetable juice"
1530,2014-10-11,"long life bakery product, condensed milk"
1531,2014-09-24,"meat, root vegetables"
1531,2015-01-19,"sausage, pickled vegetables"
1532,2014-10-11,"liquor (appetizer), rolls/buns, yogurt"
1532,2015-06-20,"whole milk, citrus fruit, napkins"
1533,2014-02-10,"specialty fat, red/blush wine"
1533,2014-03-15,"cream cheese , shopping bags"
1533,2015-11-07,"citrus fruit, other vegetables"
1534,2014-07-02,"other vegetables, pastry"
1534,2014-11-05,"pork, bottled water, pastry"
1534,2015-07-10,"shopping bags, dessert, other vegetables, bottled water, margarine"
1534,2015-08-13,"pastry, rolls/buns, sliced cheese, tropical fruit, liquor, hygiene articles, dental care, napkins"
1535,2014-06-08,"napkins, whole milk"
1535,2014-06-26,"pork, other vegetables"
1535,2015-01-14,"shopping bags, soda"
1535,2015-07-03,"pip fruit, flour"
1536,2014-07-30,"root vegetables, tropical fruit"
1536,2015-01-05,"frankfurter, canned beer, pastry, yogurt"
1536,2015-05-02,"whole milk, rolls/buns"
1537,2014-12-08,"other vegetables, yogurt, soda"
1537,2015-02-01,"bottled water, yogurt"
1538,2014-06-12,"sausage, dessert"
1538,2015-03-08,"sausage, hamburger meat"
1538,2015-11-30,"tropical fruit, root vegetables"
1539,2015-04-07,"frankfurter, margarine"
1539,2015-09-27,"pip fruit, whipped/sour cream, rolls/buns"
1540,2014-11-27,"yogurt, pastry"
1540,2015-02-23,"ham, berries"
1540,2015-08-14,"whole milk, beef, beverages, yogurt"
1540,2015-11-26,"skin care, frankfurter, root vegetables, fruit/vegetable juice"
1542,2014-07-22,"sausage, hamburger meat, newspapers"
1542,2014-09-13,"yogurt, popcorn"
1542,2014-12-08,"hamburger meat, popcorn"
1542,2015-04-28,"curd, yogurt"
1542,2015-05-15,"tropical fruit, whole milk"
1542,2015-08-07,"pork, whole milk"
1544,2014-03-18,"tropical fruit, cat food"
1544,2014-04-24,"root vegetables, brown bread"
1544,2014-05-01,"other vegetables, semi-finished bread, shopping bags"
1544,2015-02-25,"dessert, salty snack"
1545,2014-04-01,"brown bread, hair spray"
1545,2015-02-28,"citrus fruit, white wine"
1545,2015-10-17,"whole milk, frozen vegetables, semi-finished bread"
1546,2014-04-02,"white bread, canned fish"
1546,2014-10-03,"coffee, sugar"
1546,2015-01-03,"butter, root vegetables, bottled water, whipped/sour cream, red/blush wine"
1547,2014-03-09,"whole milk, long life bakery product"
1547,2014-07-07,"onions, whole milk, cling film/bags"
1547,2015-04-18,"pickled vegetables, soda"
1548,2014-02-22,"condensed milk, pastry"
1548,2014-05-04,"other vegetables, bottled beer"
1548,2014-10-01,"long life bakery product, bottled beer"
1549,2014-03-02,"domestic eggs, coffee, pastry"
1549,2014-07-17,"liver loaf, bottled water"
1549,2015-03-18,"rolls/buns, beef, coffee"
1550,2014-05-05,"pork, cereals"
1550,2014-09-03,"domestic eggs, brown bread, specialty chocolate"
1550,2015-05-14,"potato products, oil"
1551,2014-04-28,"mayonnaise, instant coffee"
1551,2015-01-14,"soda, frozen fish, rolls/buns"
1551,2015-05-11,"onions, rum"
1551,2015-06-11,"tropical fruit, yogurt"
1551,2015-07-21,"dessert, curd"
1551,2015-08-11,"frankfurter, syrup"
1552,2014-01-09,"rolls/buns, baby cosmetics"
1553,2014-04-07,"pip fruit, UHT-milk, soda"
1553,2014-05-09,"citrus fruit, soda, coffee"
1553,2014-07-23,"yogurt, other vegetables"
1553,2014-09-05,"baking powder, domestic eggs"
1553,2015-03-20,"frozen fish, mustard"
1553,2015-07-21,"other vegetables, sliced cheese"
1554,2014-01-31,"hygiene articles, vinegar"
1554,2014-02-04,"beef, curd"
1554,2014-05-23,"pip fruit, soda"
1554,2014-10-27,"meat, canned fish, brown bread"
1554,2015-05-21,"tropical fruit, sausage, detergent, butter, newspapers"
1555,2015-03-27,"rolls/buns, liquor (appetizer)"
1556,2014-05-31,"herbs, soft cheese"
1557,2014-12-10,"domestic eggs, chocolate"
1557,2015-08-04,"beef, hamburger meat"
1558,2015-04-06,"finished products, other vegetables"
1559,2014-08-09,"sausage, other vegetables"
1559,2015-10-03,"beef, citrus fruit, napkins, semi-finished bread, brown bread"
1560,2014-05-16,"white bread, salty snack"
1561,2014-01-19,"onions, cream cheese "
1561,2014-03-28,"yogurt, fruit/vegetable juice"
1561,2014-04-02,white bread
1561,2014-05-15,"sugar, coffee"
1561,2014-10-17,"dishes, onions, canned beer"
1561,2015-06-05,"dish cleaner, whole milk, flower (seeds), flour, chewing gum, dog food"
1561,2015-07-25,"whole milk, domestic eggs, long life bakery product"
1562,2014-07-30,"snack products, soda"
1562,2015-01-22,"frozen vegetables, beef"
1562,2015-05-11,"frankfurter, pork"
1563,2014-03-11,"citrus fruit, margarine, sliced cheese"
1563,2014-04-27,"long life bakery product, waffles"
1564,2014-10-30,"tropical fruit, prosecco"
1564,2014-11-15,"root vegetables, pip fruit"
1564,2015-06-19,"tropical fruit, yogurt"
1564,2015-10-23,"sausage, pasta"
1565,2014-07-02,"chewing gum, rolls/buns"
1565,2014-10-30,"oil, chocolate"
1565,2015-10-15,"pork, whole milk, other vegetables, tidbits, coffee"
1565,2015-11-30,"canned beer, shopping bags, whole milk"
1565,2015-12-12,"meat, domestic eggs"
1565,2015-12-14,"condensed milk, berries, tea, frozen vegetables, cat food"
1566,2014-01-24,"citrus fruit, salt"
1566,2014-01-30,"tropical fruit, waffles, bottled beer"
1566,2014-06-03,"citrus fruit, dessert, newspapers"
1566,2014-06-28,"other vegetables, curd"
1566,2014-11-05,"berries, frozen meals"
1566,2015-02-24,"whole milk, soda"
1566,2015-04-30,"grapes, ketchup"
1566,2015-06-05,"yogurt, whole milk, shopping bags"
1566,2015-11-19,"tropical fruit, bottled beer"
1567,2014-08-13,"onions, chocolate"
1567,2015-03-13,"whipped/sour cream, frankfurter, rolls/buns, citrus fruit, candy, bottled beer, yogurt, whole milk"
1567,2015-04-01,"chewing gum, pot plants"
1567,2015-04-11,"ham, frankfurter, bottled water, shopping bags, specialty cheese"
1568,2014-01-09,"candy, domestic eggs"
1568,2014-03-09,"nuts/prunes, coffee"
1569,2014-01-19,"rolls/buns, pastry"
1569,2014-03-09,"other vegetables, bottled beer, white bread, fruit/vegetable juice"
1569,2014-05-20,"rolls/buns, berries"
1570,2015-03-15,"frankfurter, yogurt, waffles"
1570,2015-03-20,"other vegetables, whipped/sour cream"
1571,2014-11-17,"misc. beverages, bottled beer, dishes, onions"
1571,2015-05-24,"sausage, bottled beer, whole milk, frozen vegetables"
1572,2014-03-31,"bottled beer, frozen dessert, rolls/buns, berries, rice, white bread"
1572,2014-05-17,"chicken, margarine, long life bakery product"
1572,2014-07-03,"rolls/buns, candy"
1572,2014-08-13,"finished products, frozen vegetables"
1572,2015-05-23,"frankfurter, other vegetables, specialty bar"
1572,2015-07-14,"specialty chocolate, whipped/sour cream"
1572,2015-09-21,"soda, candy"
1573,2014-04-20,"tropical fruit, butter"
1573,2014-05-18,"pastry, other vegetables"
1573,2015-01-21,"misc. beverages, oil"
1574,2014-01-15,"whole milk, flour"
1574,2014-02-12,"frozen fish, bottled beer"
1574,2014-02-28,"butter, cat food, roll products "
1574,2014-03-04,"white bread, newspapers"
1574,2014-04-25,"hamburger meat, cat food, margarine"
1574,2014-06-17,"soda, onions, pastry"
1574,2014-11-30,"whole milk, other vegetables"
1574,2015-02-12,"frankfurter, brown bread"
1574,2015-04-18,"other vegetables, whipped/sour cream"
1574,2015-08-04,"specialty chocolate, pork"
1575,2014-02-14,"rolls/buns, newspapers"
1575,2014-04-05,"dessert, whole milk"
1575,2014-06-27,"white bread, seasonal products"
1575,2014-09-20,"misc. beverages, shopping bags"
1575,2015-01-04,"yogurt, whole milk"
1577,2015-03-16,"beef, cream cheese "
1578,2014-03-26,"whole milk, beverages"
1578,2014-08-24,"napkins, citrus fruit"
1578,2014-11-29,"frozen vegetables, newspapers"
1578,2015-06-23,"packaged fruit/vegetables, bottled beer"
1579,2014-06-15,"specialty bar, canned beer"
1580,2014-02-20,"misc. beverages, domestic eggs"
1580,2014-02-24,"tropical fruit, mustard, sliced cheese"
1580,2014-05-19,"citrus fruit, chewing gum"
1580,2014-09-11,"salty snack, canned beer"
1580,2015-06-14,"citrus fruit, whole milk"
1580,2015-08-07,"other vegetables, pip fruit, domestic eggs"
1580,2015-12-05,"other vegetables, whole milk"
1581,2014-02-17,"newspapers, napkins"
1581,2014-06-17,"meat, butter"
1581,2015-08-13,"grapes, onions"
1582,2014-06-10,"shopping bags, sparkling wine"
1582,2015-07-08,"sausage, margarine"
1582,2015-08-06,"curd, shopping bags"
1583,2014-02-09,"sliced cheese, cat food"
1583,2014-11-27,"citrus fruit, dessert, bottled water"
1583,2015-03-24,"sliced cheese, liquor, hygiene articles"
1583,2015-05-31,"bottled water, pastry, fruit/vegetable juice"
1583,2015-07-28,"frankfurter, sausage, pastry, newspapers, honey"
1583,2015-11-23,"soda, pip fruit, sugar, brown bread"
1584,2014-12-28,"UHT-milk, pastry"
1584,2015-01-26,"rolls/buns, soda, curd, dessert"
1584,2015-01-31,"pet care, whole milk"
1584,2015-03-11,"frankfurter, cream cheese , long life bakery product"
1584,2015-07-10,"yogurt, long life bakery product, onions, hygiene articles, sugar"
1585,2014-04-20,"soda, whole milk"
1585,2014-09-17,"tropical fruit, rolls/buns"
1585,2014-10-16,"fruit/vegetable juice, margarine"
1585,2015-01-07,"other vegetables, yogurt"
1586,2014-03-11,"citrus fruit, soda, butter, hard cheese"
1586,2014-05-02,"pip fruit, rolls/buns"
1587,2014-05-15,"rolls/buns, frozen vegetables"
1587,2014-09-01,"hygiene articles, skin care"
1587,2014-09-13,"yogurt, shopping bags"
1587,2014-12-26,"curd, margarine"
1587,2015-07-01,"other vegetables, whole milk, yogurt, hard cheese, bottled beer"
1588,2014-07-19,"root vegetables, processed cheese"
1588,2015-01-19,"pork, beverages, dishes"
1588,2015-10-13,"sausage, zwieback, jam"
1589,2014-01-11,"dessert, butter"
1589,2014-08-27,"hamburger meat, root vegetables"
1590,2014-06-01,"citrus fruit, newspapers"
1590,2014-06-21,"fruit/vegetable juice, pip fruit"
1590,2015-08-15,"coffee, whole milk"
1591,2014-01-15,"frozen meals, bottled beer"
1591,2014-12-19,"root vegetables, white bread"
1591,2014-12-29,"packaged fruit/vegetables, whole milk, photo/film, oil"
1591,2015-03-20,"soap, hard cheese"
1592,2014-11-28,"other vegetables, rolls/buns"
1593,2014-02-20,"canned beer, onions"
1593,2015-01-31,"meat, other vegetables"
1593,2015-08-08,"sausage, rolls/buns"
1594,2014-04-15,"sugar, bottled water"
1594,2014-05-28,"specialty bar, yogurt"
1594,2015-01-23,"brown bread, yogurt"
1595,2014-01-26,"other vegetables, yogurt"
1595,2014-06-27,"beef, newspapers"
1595,2014-07-17,"bottled beer, rolls/buns, whole milk"
1595,2014-11-09,"bottled beer, nut snack"
1595,2015-04-11,"pip fruit, soda"
1595,2015-06-20,"finished products, whole milk"
1595,2015-10-05,"liver loaf, hamburger meat, sausage, whole milk, whipped/sour cream, other vegetables, white bread, rolls/buns"
1596,2014-07-27,"whole milk, other vegetables, pot plants"
1596,2014-09-10,"pot plants, other vegetables"
1596,2014-10-12,"dessert, UHT-milk, margarine"
1596,2015-07-14,"bottled water, beverages"
1597,2014-02-13,"frozen meals, cake bar"
1597,2014-10-12,"UHT-milk, whole milk"
1597,2014-12-23,"other vegetables, oil"
1597,2015-02-05,"UHT-milk, whole milk"
1598,2014-04-25,"cream cheese , rolls/buns"
1598,2014-07-18,"ice cream, soda"
1598,2015-03-02,"root vegetables, white bread, sliced cheese"
1599,2014-08-21,"sausage, rolls/buns"
1599,2014-10-10,"cream cheese , candy"
1599,2015-04-20,"semi-finished bread, whole milk"
1599,2015-05-29,"tropical fruit, pot plants, berries, other vegetables, shopping bags"
1599,2015-10-13,"sausage, soda"
